Country;League;Season;Date;Type;Home_Team;Home_Points;Away_Points;Away_Team;Note;Odds_Home;Odds_Away;End_Of_RT;Number of Points - TOTAL;Number of Points - INTERVAL;Winning Margin
Germany;Bbl;2008/2009;07/10/2008;Regular Season;Gottingen;83;72;Artland;;2;1.73;Home;155;151 | 160;11 to 15
Germany;Bbl;2008/2009;11/10/2008;Regular Season;Tubingen;78;67;Giessen;;1.33;3.25;Home;145;141 | 150;11 to 15
Germany;Bbl;2008/2009;11/10/2008;Regular Season;Bonn;71;77;Artland;;1.36;3;Away;148;141 | 150;6 to 10
Germany;Bbl;2008/2009;11/10/2008;Regular Season;Nordlingen;68;74;Trier;;1.44;2.63;Away;142;141 | 150;6 to 10
Greece;Basket League;2008/2009;11/10/2008;Regular Season;Kavala;66;65;Ael 1964 B.C.;;1.44;2.63;Home;131;131 | 140;1 to 5
Germany;Bbl;2008/2009;12/10/2008;Regular Season;Ludwigsburg;62;61;Basketball Braunschweig;;1.33;3.25;Home;123;121 | 130;1 to 5
Germany;Bbl;2008/2009;12/10/2008;Regular Season;Koln;58;79;Alba Berlin;;4.33;1.2;Away;137;131 | 140;21 to 25
Europe;Eurocup;2008/2009;14/10/2008;Qualification;Ask Riga;69;62;Cholet;;1.29;3.5;Home;131;131 | 140;6 to 10
Europe;Eurocup;2008/2009;14/10/2008;Qualification;Swans Gmunden;86;64;Tartu Ulikool;;2;1.73;Home;150;141 | 150;21 to 25
Europe;Eurocup;2008/2009;14/10/2008;Qualification;Siauliai;73;73;Galatasaray;;2.25;1.57;Draw;146;141 | 150;0
Europe;Eurocup;2008/2009;14/10/2008;Qualification;Zenit Petersburg;78;78;Oostende;;1.03;10;Draw;156;151 | 160;0
Germany;Bbl;2008/2009;15/10/2008;Regular Season;Ludwigsburg;65;58;Alba Berlin;;4.5;1.17;Home;123;121 | 130;6 to 10
Spain;Acb;2008/2009;17/10/2008;Regular Season;Baskonia;80;68;Cb Granada;;1.08;7;Home;148;141 | 150;11 to 15
Greece;Basket League;2008/2009;18/10/2008;Regular Season;Ael 1964 B.C.;63;62;Aek Athens;;1.91;1.8;Home;125;121 | 130;1 to 5
Greece;Basket League;2008/2009;18/10/2008;Regular Season;Olympiacos;74;57;Aris;;1.05;8.5;Home;131;131 | 140;16 to 20
Greece;Basket League;2008/2009;18/10/2008;Regular Season;Kolossos Rhodes;66;92;Panathinaikos;;10;1.03;Away;158;151 | 160;At least 26
Greece;Basket League;2008/2009;18/10/2008;Regular Season;Panellinios;82;60;Gs Larissa;;1.12;5.5;Home;142;141 | 150;21 to 25
Italy;Lega A;2008/2009;18/10/2008;Regular Season;Fortitudo Bologna;58;82;Virtus Roma;;1.57;2.25;Away;140;131 | 140;21 to 25
Greece;Basket League;2008/2009;19/10/2008;Regular Season;Maroussi;66;72;Egaleo;;1.08;7;Away;138;131 | 140;6 to 10
Greece;Basket League;2008/2009;19/10/2008;Regular Season;Trikala;66;77;Paok;;2.1;1.67;Away;143;141 | 150;11 to 15
Italy;Lega A;2008/2009;19/10/2008;Regular Season;Biella;78;83;Teramo;;1.57;2.25;Away;161;161 | 170;1 to 5
Italy;Lega A;2008/2009;19/10/2008;Regular Season;Avellino;92;80;Nsb Napoli;;1.22;4;Home;172;171 | 180;11 to 15
Italy;Lega A;2008/2009;19/10/2008;Regular Season;Caserta;62;86;Cantu;;1.36;3;Away;148;141 | 150;21 to 25
Italy;Lega A;2008/2009;19/10/2008;Regular Season;Ferrara;67;76;Pesaro;;1.83;1.83;Away;143;141 | 150;6 to 10
Italy;Lega A;2008/2009;19/10/2008;Regular Season;Siena;81;75;Treviso;;1.03;10;Home;156;151 | 160;6 to 10
Italy;Lega A;2008/2009;19/10/2008;Regular Season;Sutor Montegranaro;73;70;Udine;;1.36;3;Home;143;141 | 150;1 to 5
